,th0,th1,th2,th3,thp0,thp1,thp2,thp3,ng0,ng1,ng2,ng3,acceptProb,loglikelihood,acceptflag
0,0.22,0.93,0.25,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-428.29270216,1.0
1,0.22,0.93,0.25,1.55,0.295996251489,0.913941399304,0.233509270719,1.5975734861,0.0,0.0,0.0,0.0,0.45936692233,-428.29270216,0.0
2,0.22,0.93,0.25,1.55,0.0302196618552,0.882859564014,0.23233283757,1.62124451351,0.0,0.0,0.0,0.0,0.00142586049958,-428.29270216,0.0
3,0.22,0.93,0.25,1.55,0.126420123071,1.01429862959,0.0986317318369,1.71502041764,0.0,0.0,0.0,0.0,0.0,-428.29270216,0.0
4,0.22,0.93,0.25,1.55,0.0174497234707,1.01974912193,0.383418971787,1.80613087422,0.0,0.0,0.0,0.0,0.0,-428.29270216,0.0
5,0.22,0.93,0.25,1.55,-0.144055259759,0.948885745299,0.0785732443143,1.62942548803,0.0,0.0,0.0,0.0,2.62882331382e-08,-428.29270216,0.0
6,0.22,0.93,0.25,1.55,-0.0418831981597,0.934291551502,0.292494541375,1.44050970227,0.0,0.0,0.0,0.0,0.00367512955612,-428.29270216,0.0
7,0.22,0.93,0.25,1.55,0.0722624573319,0.903226647679,0.415164398017,1.46682389895,0.0,0.0,0.0,0.0,0.0120988673936,-428.29270216,0.0
8,0.22,0.93,0.25,1.55,0.130625311387,0.926108126867,0.390522508885,1.57214245879,0.0,0.0,0.0,0.0,0.034482150991,-428.29270216,0.0
9,0.22,0.93,0.25,1.55,0.405810187531,0.926926111574,0.471807261107,1.14969909037,0.0,0.0,0.0,0.0,2.35238253384e-10,-428.29270216,0.0
10,0.22,0.93,0.25,1.55,-0.00876186845038,0.979179272697,0.0863443670504,1.63652913727,0.0,0.0,0.0,0.0,0.0596816812764,-428.29270216,0.0
11,0.22,0.93,0.25,1.55,0.276819367316,0.948286220989,-0.0255449242722,1.42091970419,0.0,0.0,0.0,0.0,0.0,-428.29270216,0.0
12,0.22,0.93,0.25,1.55,0.335219883447,0.923028267043,0.190274929909,1.4403696618,0.0,0.0,0.0,0.0,0.046790674245,-428.29270216,0.0
13,0.22,0.93,0.25,1.55,0.263917343018,0.858240759343,0.41579766973,1.41086309336,0.0,0.0,0.0,0.0,0.00420100889776,-428.29270216,0.0
14,0.22,0.93,0.25,1.55,0.126263082244,0.993750990638,0.198920939982,1.54341137752,0.0,0.0,0.0,0.0,0.0170913872291,-428.29270216,0.0
15,0.22,0.93,0.25,1.55,0.501269156668,0.822356442753,0.0637114173957,1.57922089349,0.0,0.0,0.0,0.0,0.000102504800521,-428.29270216,0.0
16,0.22,0.93,0.25,1.55,0.162595919599,0.858470976221,0.301027885299,1.584477535,0.0,0.0,0.0,0.0,0.0459854351686,-428.29270216,0.0
17,0.22,0.93,0.25,1.55,0.343492964933,0.965811352893,0.416534141052,1.19277291945,0.0,0.0,0.0,0.0,4.24557288325e-10,-428.29270216,0.0
18,0.22,0.93,0.25,1.55,-0.112828225868,0.938327265513,0.226421098464,1.626786168,0.0,0.0,0.0,0.0,0.0144265953817,-428.29270216,0.0
19,0.22,0.93,0.25,1.55,0.264385998305,1.01596223163,0.299960535188,1.40927307912,0.0,0.0,0.0,0.0,0.0,-428.29270216,0.0
